url	title	row	#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
https:/coinmarketcap.com/historical/20200915	15 September 2020	166	SwissBorg	CHSB	$59,260,035	$0.082074	722,028,071 CHSB *	$455,780	-0.31%	-1.78%	-4.68%	
https:/coinmarketcap.com/historical/20200916	16 September 2020	161	SwissBorg	CHSB	$61,538,888	$0.085231	722,028,071 CHSB *	$396,907	0.10%	4.17%	-6.85%	
